,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
11064,11065,Somone walked a hefty five steps.,Somone walked,a hefty five steps,five hefty steps,hefty five a steps,five hefty steps,five a steps,hefty a steps
11065,11066,Somone walked a hefty twenty meters.,Somone walked,a hefty twenty meters,twenty hefty meters,hefty twenty a meters,twenty hefty meters,twenty a meters,hefty a meters
11066,11067,Somone walked a hefty twenty feet.,Somone walked,a hefty twenty feet,twenty hefty feet,hefty twenty a feet,twenty hefty feet,twenty a feet,hefty a feet
11067,11068,Somone walked a hefty twenty yards.,Somone walked,a hefty twenty yards,twenty hefty yards,hefty twenty a yards,twenty hefty yards,twenty a yards,hefty a yards
11068,11069,Somone walked a hefty twenty blocks.,Somone walked,a hefty twenty blocks,twenty hefty blocks,hefty twenty a blocks,twenty hefty blocks,twenty a blocks,hefty a blocks
11069,11070,Somone walked a hefty twenty steps.,Somone walked,a hefty twenty steps,twenty hefty steps,hefty twenty a steps,twenty hefty steps,twenty a steps,hefty a steps
11070,11071,Somone walked a paltry three meters.,Somone walked,a paltry three meters,three paltry meters,paltry three a meters,three paltry meters,three a meters,paltry a meters
11071,11072,Somone walked a paltry three feet.,Somone walked,a paltry three feet,three paltry feet,paltry three a feet,three paltry feet,three a feet,paltry a feet
11072,11073,Somone walked a paltry three yards.,Somone walked,a paltry three yards,three paltry yards,paltry three a yards,three paltry yards,three a yards,paltry a yards
11073,11074,Somone walked a paltry three blocks.,Somone walked,a paltry three blocks,three paltry blocks,paltry three a blocks,three paltry blocks,three a blocks,paltry a blocks
11074,11075,Somone walked a paltry three steps.,Somone walked,a paltry three steps,three paltry steps,paltry three a steps,three paltry steps,three a steps,paltry a steps
11075,11076,Somone walked a paltry five meters.,Somone walked,a paltry five meters,five paltry meters,paltry five a meters,five paltry meters,five a meters,paltry a meters
11076,11077,Somone walked a paltry five feet.,Somone walked,a paltry five feet,five paltry feet,paltry five a feet,five paltry feet,five a feet,paltry a feet
11077,11078,Somone walked a paltry five yards.,Somone walked,a paltry five yards,five paltry yards,paltry five a yards,five paltry yards,five a yards,paltry a yards
11078,11079,Somone walked a paltry five blocks.,Somone walked,a paltry five blocks,five paltry blocks,paltry five a blocks,five paltry blocks,five a blocks,paltry a blocks
11079,11080,Somone walked a paltry five steps.,Somone walked,a paltry five steps,five paltry steps,paltry five a steps,five paltry steps,five a steps,paltry a steps
11080,11081,Somone walked a paltry twenty meters.,Somone walked,a paltry twenty meters,twenty paltry meters,paltry twenty a meters,twenty paltry meters,twenty a meters,paltry a meters
11081,11082,Somone walked a paltry twenty feet.,Somone walked,a paltry twenty feet,twenty paltry feet,paltry twenty a feet,twenty paltry feet,twenty a feet,paltry a feet
11082,11083,Somone walked a paltry twenty yards.,Somone walked,a paltry twenty yards,twenty paltry yards,paltry twenty a yards,twenty paltry yards,twenty a yards,paltry a yards
11083,11084,Somone walked a paltry twenty blocks.,Somone walked,a paltry twenty blocks,twenty paltry blocks,paltry twenty a blocks,twenty paltry blocks,twenty a blocks,paltry a blocks
11084,11085,Somone walked a paltry twenty steps.,Somone walked,a paltry twenty steps,twenty paltry steps,paltry twenty a steps,twenty paltry steps,twenty a steps,paltry a steps
11085,11086,Somone walked a meager three meters.,Somone walked,a meager three meters,three meager meters,meager three a meters,three meager meters,three a meters,meager a meters
11086,11087,Somone walked a meager three feet.,Somone walked,a meager three feet,three meager feet,meager three a feet,three meager feet,three a feet,meager a feet
11087,11088,Somone walked a meager three yards.,Somone walked,a meager three yards,three meager yards,meager three a yards,three meager yards,three a yards,meager a yards
11088,11089,Somone walked a meager three blocks.,Somone walked,a meager three blocks,three meager blocks,meager three a blocks,three meager blocks,three a blocks,meager a blocks
11089,11090,Somone walked a meager three steps.,Somone walked,a meager three steps,three meager steps,meager three a steps,three meager steps,three a steps,meager a steps
11090,11091,Somone walked a meager five meters.,Somone walked,a meager five meters,five meager meters,meager five a meters,five meager meters,five a meters,meager a meters
11091,11092,Somone walked a meager five feet.,Somone walked,a meager five feet,five meager feet,meager five a feet,five meager feet,five a feet,meager a feet
11092,11093,Somone walked a meager five yards.,Somone walked,a meager five yards,five meager yards,meager five a yards,five meager yards,five a yards,meager a yards
11093,11094,Somone walked a meager five blocks.,Somone walked,a meager five blocks,five meager blocks,meager five a blocks,five meager blocks,five a blocks,meager a blocks
11094,11095,Somone walked a meager five steps.,Somone walked,a meager five steps,five meager steps,meager five a steps,five meager steps,five a steps,meager a steps
11095,11096,Somone walked a meager twenty meters.,Somone walked,a meager twenty meters,twenty meager meters,meager twenty a meters,twenty meager meters,twenty a meters,meager a meters
11096,11097,Somone walked a meager twenty feet.,Somone walked,a meager twenty feet,twenty meager feet,meager twenty a feet,twenty meager feet,twenty a feet,meager a feet
11097,11098,Somone walked a meager twenty yards.,Somone walked,a meager twenty yards,twenty meager yards,meager twenty a yards,twenty meager yards,twenty a yards,meager a yards
11098,11099,Somone walked a meager twenty blocks.,Somone walked,a meager twenty blocks,twenty meager blocks,meager twenty a blocks,twenty meager blocks,twenty a blocks,meager a blocks
11099,11100,Somone walked a meager twenty steps.,Somone walked,a meager twenty steps,twenty meager steps,meager twenty a steps,twenty meager steps,twenty a steps,meager a steps
11100,11101,Somone walked an extra three meters.,Somone walked,an extra three meters,three extra meters,extra three a meters,three extra meters,three a meters,extra a meters
11101,11102,Somone walked an extra three feet.,Somone walked,an extra three feet,three extra feet,extra three a feet,three extra feet,three a feet,extra a feet
11102,11103,Somone walked an extra three yards.,Somone walked,an extra three yards,three extra yards,extra three a yards,three extra yards,three a yards,extra a yards
11103,11104,Somone walked an extra three blocks.,Somone walked,an extra three blocks,three extra blocks,extra three a blocks,three extra blocks,three a blocks,extra a blocks
11104,11105,Somone walked an extra three steps.,Somone walked,an extra three steps,three extra steps,extra three a steps,three extra steps,three a steps,extra a steps
11105,11106,Somone walked an extra five meters.,Somone walked,an extra five meters,five extra meters,extra five a meters,five extra meters,five a meters,extra a meters
11106,11107,Somone walked an extra five feet.,Somone walked,an extra five feet,five extra feet,extra five a feet,five extra feet,five a feet,extra a feet
11107,11108,Somone walked an extra five yards.,Somone walked,an extra five yards,five extra yards,extra five a yards,five extra yards,five a yards,extra a yards
11108,11109,Somone walked an extra five blocks.,Somone walked,an extra five blocks,five extra blocks,extra five a blocks,five extra blocks,five a blocks,extra a blocks
11109,11110,Somone walked an extra five steps.,Somone walked,an extra five steps,five extra steps,extra five a steps,five extra steps,five a steps,extra a steps
11110,11111,Somone walked an extra twenty meters.,Somone walked,an extra twenty meters,twenty extra meters,extra twenty a meters,twenty extra meters,twenty a meters,extra a meters
11111,11112,Somone walked an extra twenty feet.,Somone walked,an extra twenty feet,twenty extra feet,extra twenty a feet,twenty extra feet,twenty a feet,extra a feet
11112,11113,Somone walked an extra twenty yards.,Somone walked,an extra twenty yards,twenty extra yards,extra twenty a yards,twenty extra yards,twenty a yards,extra a yards
11113,11114,Somone walked an extra twenty blocks.,Somone walked,an extra twenty blocks,twenty extra blocks,extra twenty a blocks,twenty extra blocks,twenty a blocks,extra a blocks
11114,11115,Somone walked an extra twenty steps.,Somone walked,an extra twenty steps,twenty extra steps,extra twenty a steps,twenty extra steps,twenty a steps,extra a steps
11115,11116,Somone walked a measly three meters.,Somone walked,a measly three meters,three measly meters,measly three a meters,three measly meters,three a meters,measly a meters
11116,11117,Somone walked a measly three feet.,Somone walked,a measly three feet,three measly feet,measly three a feet,three measly feet,three a feet,measly a feet
11117,11118,Somone walked a measly three yards.,Somone walked,a measly three yards,three measly yards,measly three a yards,three measly yards,three a yards,measly a yards
11118,11119,Somone walked a measly three blocks.,Somone walked,a measly three blocks,three measly blocks,measly three a blocks,three measly blocks,three a blocks,measly a blocks
11119,11120,Somone walked a measly three steps.,Somone walked,a measly three steps,three measly steps,measly three a steps,three measly steps,three a steps,measly a steps
11120,11121,Somone walked a measly five meters.,Somone walked,a measly five meters,five measly meters,measly five a meters,five measly meters,five a meters,measly a meters
11121,11122,Somone walked a measly five feet.,Somone walked,a measly five feet,five measly feet,measly five a feet,five measly feet,five a feet,measly a feet
11122,11123,Somone walked a measly five yards.,Somone walked,a measly five yards,five measly yards,measly five a yards,five measly yards,five a yards,measly a yards
11123,11124,Somone walked a measly five blocks.,Somone walked,a measly five blocks,five measly blocks,measly five a blocks,five measly blocks,five a blocks,measly a blocks
11124,11125,Somone walked a measly five steps.,Somone walked,a measly five steps,five measly steps,measly five a steps,five measly steps,five a steps,measly a steps
11125,11126,Somone walked a measly twenty meters.,Somone walked,a measly twenty meters,twenty measly meters,measly twenty a meters,twenty measly meters,twenty a meters,measly a meters
