idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
12583,It lasted a surprising twenty paragraphs.,It lasted,twenty surprising a paragraphs,twenty surprising paragraphs,surprising twenty a paragraphs,twenty surprising paragraphs,twenty a paragraphs,surprising a paragraphs
12584,It lasted a surprising twenty awards.,It lasted,twenty surprising an awards,twenty surprising awards,surprising twenty an awards,twenty surprising awards,twenty an awards,surprising an awards
12585,It lasted a surprising twenty meals.,It lasted,twenty surprising a meals,twenty surprising meals,surprising twenty a meals,twenty surprising meals,twenty a meals,surprising a meals
12586,It lasted a devastating three pages.,It lasted,three devastating a pages,three devastating pages,devastating three a pages,three devastating pages,three a pages,devastating a pages
12587,It lasted a devastating three acts.,It lasted,three devastating an acts,three devastating acts,devastating three an acts,three devastating acts,three an acts,devastating an acts
12588,It lasted a devastating three paragraphs.,It lasted,three devastating a paragraphs,three devastating paragraphs,devastating three a paragraphs,three devastating paragraphs,three a paragraphs,devastating a paragraphs
12589,It lasted a devastating three awards.,It lasted,three devastating an awards,three devastating awards,devastating three an awards,three devastating awards,three an awards,devastating an awards
12590,It lasted a devastating three meals.,It lasted,three devastating a meals,three devastating meals,devastating three a meals,three devastating meals,three a meals,devastating a meals
12591,It lasted a devastating five pages.,It lasted,five devastating a pages,five devastating pages,devastating five a pages,five devastating pages,five a pages,devastating a pages
12592,It lasted a devastating five acts.,It lasted,five devastating an acts,five devastating acts,devastating five an acts,five devastating acts,five an acts,devastating an acts
12593,It lasted a devastating five paragraphs.,It lasted,five devastating a paragraphs,five devastating paragraphs,devastating five a paragraphs,five devastating paragraphs,five a paragraphs,devastating a paragraphs
12594,It lasted a devastating five awards.,It lasted,five devastating an awards,five devastating awards,devastating five an awards,five devastating awards,five an awards,devastating an awards
12595,It lasted a devastating five meals.,It lasted,five devastating a meals,five devastating meals,devastating five a meals,five devastating meals,five a meals,devastating a meals
12596,It lasted a devastating twenty pages.,It lasted,twenty devastating a pages,twenty devastating pages,devastating twenty a pages,twenty devastating pages,twenty a pages,devastating a pages
12597,It lasted a devastating twenty acts.,It lasted,twenty devastating an acts,twenty devastating acts,devastating twenty an acts,twenty devastating acts,twenty an acts,devastating an acts
12598,It lasted a devastating twenty paragraphs.,It lasted,twenty devastating a paragraphs,twenty devastating paragraphs,devastating twenty a paragraphs,twenty devastating paragraphs,twenty a paragraphs,devastating a paragraphs
12599,It lasted a devastating twenty awards.,It lasted,twenty devastating an awards,twenty devastating awards,devastating twenty an awards,twenty devastating awards,twenty an awards,devastating an awards
12600,It lasted a devastating twenty meals.,It lasted,twenty devastating a meals,twenty devastating meals,devastating twenty a meals,twenty devastating meals,twenty a meals,devastating a meals
12601,It lasted a pathetic three pages.,It lasted,three pathetic a pages,three pathetic pages,pathetic three a pages,three pathetic pages,three a pages,pathetic a pages
12602,It lasted a pathetic three acts.,It lasted,three pathetic an acts,three pathetic acts,pathetic three an acts,three pathetic acts,three an acts,pathetic an acts
12603,It lasted a pathetic three paragraphs.,It lasted,three pathetic a paragraphs,three pathetic paragraphs,pathetic three a paragraphs,three pathetic paragraphs,three a paragraphs,pathetic a paragraphs
12604,It lasted a pathetic three awards.,It lasted,three pathetic an awards,three pathetic awards,pathetic three an awards,three pathetic awards,three an awards,pathetic an awards
12605,It lasted a pathetic three meals.,It lasted,three pathetic a meals,three pathetic meals,pathetic three a meals,three pathetic meals,three a meals,pathetic a meals
12606,It lasted a pathetic five pages.,It lasted,five pathetic a pages,five pathetic pages,pathetic five a pages,five pathetic pages,five a pages,pathetic a pages
12607,It lasted a pathetic five acts.,It lasted,five pathetic an acts,five pathetic acts,pathetic five an acts,five pathetic acts,five an acts,pathetic an acts
12608,It lasted a pathetic five paragraphs.,It lasted,five pathetic a paragraphs,five pathetic paragraphs,pathetic five a paragraphs,five pathetic paragraphs,five a paragraphs,pathetic a paragraphs
12609,It lasted a pathetic five awards.,It lasted,five pathetic an awards,five pathetic awards,pathetic five an awards,five pathetic awards,five an awards,pathetic an awards
12610,It lasted a pathetic five meals.,It lasted,five pathetic a meals,five pathetic meals,pathetic five a meals,five pathetic meals,five a meals,pathetic a meals
12611,It lasted a pathetic twenty pages.,It lasted,twenty pathetic a pages,twenty pathetic pages,pathetic twenty a pages,twenty pathetic pages,twenty a pages,pathetic a pages
12612,It lasted a pathetic twenty acts.,It lasted,twenty pathetic an acts,twenty pathetic acts,pathetic twenty an acts,twenty pathetic acts,twenty an acts,pathetic an acts
12613,It lasted a pathetic twenty paragraphs.,It lasted,twenty pathetic a paragraphs,twenty pathetic paragraphs,pathetic twenty a paragraphs,twenty pathetic paragraphs,twenty a paragraphs,pathetic a paragraphs
12614,It lasted a pathetic twenty awards.,It lasted,twenty pathetic an awards,twenty pathetic awards,pathetic twenty an awards,twenty pathetic awards,twenty an awards,pathetic an awards
12615,It lasted a pathetic twenty meals.,It lasted,twenty pathetic a meals,twenty pathetic meals,pathetic twenty a meals,twenty pathetic meals,twenty a meals,pathetic a meals
12616,It lasted a remarkable three pages.,It lasted,three remarkable a pages,three remarkable pages,remarkable three a pages,three remarkable pages,three a pages,remarkable a pages
12617,It lasted a remarkable three acts.,It lasted,three remarkable an acts,three remarkable acts,remarkable three an acts,three remarkable acts,three an acts,remarkable an acts
12618,It lasted a remarkable three paragraphs.,It lasted,three remarkable a paragraphs,three remarkable paragraphs,remarkable three a paragraphs,three remarkable paragraphs,three a paragraphs,remarkable a paragraphs
12619,It lasted a remarkable three awards.,It lasted,three remarkable an awards,three remarkable awards,remarkable three an awards,three remarkable awards,three an awards,remarkable an awards
12620,It lasted a remarkable three meals.,It lasted,three remarkable a meals,three remarkable meals,remarkable three a meals,three remarkable meals,three a meals,remarkable a meals
12621,It lasted a remarkable five pages.,It lasted,five remarkable a pages,five remarkable pages,remarkable five a pages,five remarkable pages,five a pages,remarkable a pages
12622,It lasted a remarkable five acts.,It lasted,five remarkable an acts,five remarkable acts,remarkable five an acts,five remarkable acts,five an acts,remarkable an acts
12623,It lasted a remarkable five paragraphs.,It lasted,five remarkable a paragraphs,five remarkable paragraphs,remarkable five a paragraphs,five remarkable paragraphs,five a paragraphs,remarkable a paragraphs
12624,It lasted a remarkable five awards.,It lasted,five remarkable an awards,five remarkable awards,remarkable five an awards,five remarkable awards,five an awards,remarkable an awards
12625,It lasted a remarkable five meals.,It lasted,five remarkable a meals,five remarkable meals,remarkable five a meals,five remarkable meals,five a meals,remarkable a meals
12626,It lasted a remarkable twenty pages.,It lasted,twenty remarkable a pages,twenty remarkable pages,remarkable twenty a pages,twenty remarkable pages,twenty a pages,remarkable a pages
