idx,construction,corrupted_construction,corrupted_sentence
20671,a full five hours,a five hours,"He could n't remember when he 'd last had a five hours of his own , and he knew he was n't likely to get another break for a while ."
20672,a few hundred yards,a hundred yards,"There is a park just a hundred yards up the road , "" she explained ."
20673,a good six inches,a six inches,His socks were pulled a six inches up his legs .
20674,a further ten minutes,a ten minutes,The cabbie drove a ten minutes .
20675,a lousy twelve seconds,a twelve seconds,After a twelve seconds she taps out her face is red and her mouth and nose covered in beer .
20676,a further 5 seconds,a 5 seconds,It takes a 5 seconds to reach 90 % .
20677,a few thousand years,a thousand years,They took a thousand years to work their deadly course .
20678,a full five seconds,a five seconds,"At least four ... no , truly , a five seconds ."
20679,an eternal seventy minutes,an seventy minutes,"And I sat for an seventy minutes in the back of her classroom with my knees bumping the bottom of the desk in a tight rhythm , unable to think any thought more complex than , ' Embarazada ."
20680,a long fifty minutes,a fifty minutes,"In the middle of a fifty minutes of syllabus - proclaiming and assurances that we were n't going to get away with any of the slacker shenanigans of our secondary careers , I turned to the nearest person and whispered , "" Want to play tic tac toe ? """
20681,a good thirty minutes,a thirty minutes,"I really do n't see the point in staying just one night since we live a thirty minutes away from each other . """
20682,a good two hours,a two hours,We spent a two hours doing homework together .
20683,a further three days,a three days,I had a three days at the Savoy because I had to report back again .
20684,a further twelve years,a twelve years,"On the third day I attended the Executive , who asked me if I was prepared to sign on for a twelve years service after the war ."
20685,a few hundred yards,a hundred yards,"On the Western side was the main road from Mulheim to Opladon and Dusseldorf and on the northwest side , a hundred yards away from the factory of Leverkusen , was a very clean and tidy settlement ."
20686,a few hundred soldiers,a hundred soldiers,Not many Officers were left now and only a hundred soldiers of different regiments were waiting for their turn to be sent down to base in France for demobilisation .
20687,a good three miles,a three miles,"It was a three miles away so I used to walk it both ways , over a short cut over the Hednesford Hills , and down by a Mr. Tom Coulthwaite 's stables ( he was a famous and well known horse trainer ) ."
20688,a few hundred meters,a hundred meters,"Winger called a halt a hundred meters away . """
20689,an extra two millirems,an two millirems,Research has shown that a person flying from San Francisco to New York will receive an two millirems just in the short time that it takes to make the flight .
20690,an additional five to seven pounds,an five to seven pounds,"Each pound of meth that is produced creates an five to seven pounds of toxic waste , which is simply dumped down the drain or thrown into a ditch somewhere ."
20691,a comfortable fourteen points,a fourteen points,"Although the Packers were a fourteen points ahead at halftime , the Cowboys steadily closed the gap after that ."
20692,a few hundred feet,a hundred feet,I even walked a hundred feet up the road to capture a particularly colorful hill .
20693,a few hundred millenniums,a hundred millenniums,"He was being attended to by Evelyn Krauss , a cherubic , button - faced nurse with enough energy to power a small sun for a hundred millenniums ."
20694,a few hundred feet,a hundred feet,a helicopter circled overhead and landed a hundred feet from the entrance to the ranch .
20695,a few billion years,a billion years,The universe is the same size it has always been when it was created a billion years ago out of a small burp from a cosmic speck in the middle of nothingness .
20696,a good ten feet,a ten feet,Michael Ryan tried to figure out how the man he had put himself a ten feet from was suddenly on top of him like a cherry on a sundae .
20697,a good two minutes,a two minutes,"She continued dancing around the room for a two minutes more , shakin ' what her mama gave her as well as a white girl from Toledo could , and then , with one more elaborate spin , planted herself squarely on my lap with her legs stretched in front of her on the armrest ."
20698,a good fifteen minutes,a fifteen minutes,"He 'd be a fifteen minutes getting here from there , providing he was n't mown down by a four - foot , blue - haired maniac hell - bent on getting to the Black Friday sale at Morgen 's . """
20699,a full ten seconds,a ten seconds,He scratched at his scalp for a ten seconds before responding .
20700,a good ten milliseconds,a ten milliseconds,"For a ten milliseconds my internal pal flogged me about the head and neck with her imaginary wiffle ball bat , which helped get me back onto planet Earth from wherever the hell I was ."
20701,a few hundred feet,a hundred feet,The next thing I felt was Esteban lifting me into his arms and running with me toward his Jeep Wrangler parked a hundred feet away in the car service lot amidst all the shiny Lincolns .
20702,a good two hours,a two hours,"And when she stopped for her power nap shortly after lunch , they had a two hours to do what they pleased ."
20703,a good fifty paces,a fifty paces,She crossed to the edge of the field and climbed the scrubby slope on a line parallel but offset a fifty paces from the path Baas had taken .
20704,a full five minutes,a five minutes,"It had been a five minutes since his last bullet hit the boulder , only inches from a perfect head shot ."
20705,an ominous two minutes,an two minutes,He stared at her for an two minutes .
20706,a good ten feet,a ten feet,"The ceiling had collapsed for a ten feet in that direction , but he thought they could reenter the tunnel they had originally come up , maybe reach that hole the miners had escaped through ."
20707,a few thousand times,a thousand times,"Yanko 's heart was beating a thousand times a minute in his chest , but he forced himself to concentrate ."
20708,a good ten miles,a ten miles,It stretched from the ocean all the way to the base of the volcano and extended a ten miles north and south .
